File Processed: TheOdyssey.txt

Total Words Processed: 117219
Total Different Words: 8839

WORD                  FREQUENCY     FREQ %
dismal                   9           0.008
dismay                   4           0.003
dismember                1           0.001
dismiss                 11           0.009
dismissed                1           0.001
dismission               1           0.001
dismounted               1           0.001
disobey                  1           0.001
disorders                1           0.001
disown                   1           0.001
dispart                  1           0.001
disparted                1           0.001
dispatch                 1           0.001
dispatchful              2           0.002
dispense                 1           0.001
dispeopling              1           0.001
dispersed                5           0.004
disperses                1           0.001
dispersing               1           0.001
display                 34           0.029
displayed                2           0.002
displays                 6           0.005
displease                1           0.001
displeasing              2           0.002
dispose                  7           0.006
disposed                 6           0.005
dispread                 1           0.001
dispreads                1           0.001
dispute                  3           0.003
disrobed                 2           0.002
dissembled               1           0.001
dissembling              2           0.002
dissipates               1           0.001
dissolved                3           0.003
dissolves                2           0.002
dissolving               1           0.001
dissonance               1           0.001
dissuade                 1           0.001
distaff                  1           0.001
distain                  1           0.001
distance                12           0.010
distant                 55           0.047
distaste                 1           0.001
distemper                3           0.003
distended                1           0.001
distil                   1           0.001
distills                 1           0.001
distils                  2           0.002
distinct                 3           0.003
distinction              1           0.001
distinctive              1           0.001
distinguish             13           0.011
distinguished            1           0.001
distorted                1           0.001
distract                 2           0.002
distracted               1           0.001
distracting              2           0.002
distracts                1           0.001
distress                10           0.009
distressful              1           0.001
distribute               5           0.004
distributed              4           0.003
distribution             3           0.003
district                 1           0.001
districts                1           0.001
distrustful              2           0.002
disturbed                1           0.001
disturbs                 2           0.002
disunite                 1           0.001
disused                  1           0.001
dittied                  1           0.001
diurnal                  2           0.002
divan                    1           0.001
dived                    2           0.002
diverse                  2           0.002
divert                   2           0.002
divide                  24           0.020
divided                  3           0.003
divides                  8           0.007
dividing                 1           0.001
divine                  95           0.081
divined                  2           0.002
divinely                 6           0.005
diviners                 1           0.001
divines                  1           0.001
divining                 1           0.001
divinity                 2           0.002
divisions                1           0.001
dmetor                   1           0.001
do                      16           0.014
docs                     1           0.001
dodder                   1           0.001
dodona                   1           0.001
dodonean                 1           0.001
does                     6           0.005
dog                      5           0.004
dogs                    22           0.019
dole                     2           0.002
doleful                  3           0.003
dolesome                 1           0.001
dolius                  10           0.009
dollar                   1           0.001
dollars                  2           0.002
dolorous                 1           0.001
dolphin                  1           0.001
domain                  14           0.012
dome                    84           0.072
domes                    6           0.005
domestic                18           0.015
dominion                 2           0.002
dominions                3           0.003
don                      4           0.003
donate                   2           0.002
donation                 2           0.002
donations                8           0.007
done                    15           0.013
donors                   1           0.001
doom                    66           0.056
doomed                   2           0.002
dooming                  1           0.001
dooms                    5           0.004
door                    19           0.016
doors                    5           0.004
dorians                  1           0.001
dost                     7           0.006
dotard                   3           0.003
doth                     1           0.001
double                  15           0.013
doubled                  1           0.001
doubles                  1           0.001
doubly                   1           0.001
doubt                   17           0.015
doubted                  1           0.001
doubtful                 8           0.007
doubting                 2           0.002
doubtless                1           0.001
doubts                   8           0.007
dove                     3           0.003
doves                    1           0.001
dower                    5           0.004
down                    56           0.048
downcast                 1           0.001
download                 2           0.002
downward                 4           0.003
downy                    9           0.008
dowry                    1           0.001
dozy                     1           0.001
drag                     1           0.001
dragg                    7           0.006
dragon                   1           0.001
drain                   10           0.009
drained                  1           0.001
drains                   2           0.002
drank                    3           0.003
draught                 11           0.009
draughts                 1           0.001
draw                    10           0.009
drawn                    5           0.004
draws                   10           0.009
dread                   34           0.029
dreaded                  7           0.006
dreadful                66           0.056
dreading                 1           0.001
dreads                   1           0.001
dream                    9           0.008
dreams                   7           0.006
dreary                  13           0.011
drench                   2           0.002
dress                   25           0.021
dressed                  1           0.001
drew                    35           0.030
dried                    4           0.003
drier                    1           0.001
drifts                   1           0.001
drink                    4           0.003
drinks                   3           0.003
drive                   13           0.011
driven                   8           0.007
drivers                  1           0.001
drives                   8           0.007
driving                  2           0.002
drone                    1           0.001
droop                    3           0.003
drooping                11           0.009
drop                     8           0.007
dropp                   11           0.009
dropped                  2           0.002
dropping                 4           0.003
drops                    7           0.006
drove                   15           0.013
drown                    4           0.003
drowsy                   1           0.001
drugs                    6           0.005
drunkard                 1           0.001
dry                      3           0.003
dryads                   1           0.001
dryness                  1           0.001
dubious                  9           0.008
ductile                  2           0.002
due                     51           0.044
duel                     1           0.001
dues                     3           0.003
dulcet                   1           0.001
dulichians               1           0.001
dulichium                8           0.007
dull                     2           0.002
dumb                     9           0.008
dungeon                  6           0.005
dungeons                 2           0.002
durance                  1           0.001
during                   4           0.003
durst                    2           0.002
dusky                    6           0.005
dust                    20           0.017
dusty                    1           0.001
duteous                 14           0.012
duties                   2           0.002
duty                     9           0.008
dwell                    5           0.004
dwellers                 1           0.001
dwells                   9           0.008
dwelt                    4           0.003
dye                      2           0.002
dyed                     4           0.003
dyes                     2           0.002
dying                    9           0.008
dymas                    1           0.001
dyssy                    4           0.003
e                       59           0.050
each                   155           0.132
eager                   22           0.019
eagle                    8           0.007
eagles                   2           0.002
ear                     46           0.039
eared                    1           0.001
earliest                 2           0.002
early                   30           0.026
earn                     2           0.002
earnest                  3           0.003
ears                    13           0.011
earth                   72           0.061
earthly                  2           0.002
earthquakes              1           0.001
ease                    25           0.021
eased                    2           0.002
eases                    1           0.001
east                    12           0.010
eastern                  6           0.005
easy                     6           0.005
eat                      2           0.002
ebcdic                   2           0.002
ebon                     1           0.001
ebook                   29           0.025
ebooks                  18           0.015
echeneus                 2           0.002
echephron                1           0.001
echetus                  1           0.001
echo                     1           0.001
echoed                   4           0.003
echoes                   5           0.004
echoing                  7           0.006
eclipse                  1           0.001
ecstasies                1           0.001
ecstasy                  1           0.001
ecstatic                 1           0.001
eddy                     1           0.001
edge                     1           0.001
edged                    5           0.004
edited                   1           0.001
editing                  2           0.002
edition                  1           0.001
editions                 2           0.002
eehephron                1           0.001
efface                   1           0.001
effect                   3           0.003
effects                  1           0.001
effectually              1           0.001
efforts                  6           0.005
effulgence               2           0.002
effused                  2           0.002
effusion                 1           0.001
effusive                 1           0.001
egypt                    3           0.003
egyptian                 2           0.002
eight                    4           0.003
eighth                   2           0.002
ein                      1           0.001
either                  13           0.011
elaborate                2           0.002
elanced                  2           0.002
elate                    8           0.007
elated                   1           0.001
elatreus                 1           0.001
elatus                   1           0.001
elder                    3           0.003
elders                   4           0.003
eldest                   3           0.003
elect                    1           0.001
electronically           3           0.003
elegance                 2           0.002
element                  1           0.001
elemental                1           0.001
elephant                 2           0.002
elephants                1           0.001
eleven                   2           0.002
elis                     5           0.004
ell                      1           0.001
ells                     1           0.001
eloquence                6           0.005
eloquent                 1           0.001
elpenor                  6           0.005
else                     7           0.006
elude                    5           0.004
eluded                   4           0.003
eludes                   3           0.003
elusive                  4           0.003
elysium                  1           0.001
email                    3           0.003
embarking                1           0.001
embarks                  3           0.003
embattled                4           0.003
embers                   5           0.004
emblem                   1           0.001
embodied                 3           0.003
emboss                   2           0.002
embower                  2           0.002
embowering               1           0.001
embrace                 29           0.025
embraced                 7           0.006
embraces                 5           0.004
embracing                2           0.002
embroider                7           0.006
embroidered              1           0.001
embroidery               4           0.003
embroil                  1           0.001
embroils                 1           0.001
emergence                1           0.001
emerging                 5           0.004
eminence                 1           0.001
eminent                  2           0.002
emotion                  1           0.001
empire                   5           0.004
employ                  26           0.022
employed                 2           0.002
employee                 1           0.001
employs                  2           0.002
empress                  2           0.002
emprise                  2           0.002
empty                   17           0.015
emulate                  5           0.004
emulates                 2           0.002
emulous                  1           0.001
en                      52           0.044
enamell                  2           0.002
enamour                  5           0.004
enamoured                1           0.001
enchain                  1           0.001
enchanted                2           0.002
enchanting               4           0.003
enchantress              4           0.003
enchased                 2           0.002
encircled                4           0.003
encircling               2           0.002
enclose                  1           0.001
enclosed                 1           0.001
enclosure                2           0.002
encompass                2           0.002
encounter                2           0.002
encouraged               3           0.003
encourages               1           0.001
encumber                 3           0.003
encumbrance              1           0.001
end                     50           0.043
endearing                1           0.001
endeavour                1           0.001
ended                    8           0.007
ending                   2           0.002
endless                  3           0.003
endlong                  1           0.001
ends                    17           0.015
endued                   1           0.001
endure                   1           0.001
endured                  2           0.002
endures                  1           0.001
enduring                 5           0.004
energy                   3           0.003
engage                  13           0.011
engaged                  1           0.001
engine                   1           0.001
enhance                  1           0.001
enipeus                  2           0.002
enjoin                   2           0.002
enjoins                  2           0.002
enjoy                   12           0.010
enjoyed                  1           0.001
enjoyment                1           0.001
enjoys                   2           0.002
enkindle                 1           0.001
enlarge                  2           0.002
enlarged                 7           0.006
enlighten                2           0.002
ennobled                 1           0.001
enormous                12           0.010
enough                   9           0.008
enquire                  1           0.001
enraged                  1           0.001
enrich                   5           0.004
enroll                   2           0.002
ensanguined              2           0.002
ensue                    1           0.001
ensued                   4           0.003
ensues                   1           0.001
ensure                   1           0.001
entangled                1           0.001
entangling               1           0.001
enter                   15           0.013
entered                  2           0.002
entering                 4           0.003
enters                   1           0.001
entertain                5           0.004
entertained              2           0.002
entertainments           2           0.002
entertains               1           0.001
enthroned                3           0.003
entire                   2           0.002
entrails                 7           0.006
entrance                 2           0.002
entranced                2           0.002
entrancement             1           0.001
entreaties               1           0.001
entreaty                 1           0.001
entrenchments            1           0.001
entwined                 2           0.002
envied                   6           0.005
enviest                  1           0.001
envious                  3           0.003
envy                     9           0.008
epaean                   1           0.001
eperitus                 1           0.001
ephialtes                1           0.001
ephimedia                1           0.001
ephyre                   2           0.002
epirus                   1           0.001
equal                   52           0.044
equall                   2           0.002
equipment                2           0.002
equipp                   2           0.002
equivalent               4           0.003
er                     326           0.278
eraching                 1           0.001
erarch                   1           0.001
eratreus                 1           0.001
erawed                   1           0.001
erburden                 1           0.001
ercast                   3           0.003
ercome                   1           0.001
ere                     34           0.029
erected                  1           0.001
erectheus                1           0.001
eretmeus                 1           0.001
erfleeced                1           0.001
erflows                  2           0.002
erfly                    1           0.001
erhangs                  2           0.002
erhung                   1           0.001
eriphyle                 1           0.001
erlaid                   1           0.001
erlook                   1           0.001
erlooks                  3           0.003
ermatch                  1           0.001
erpass                   1           0.001
erpower                  1           0.001
err                      3           0.003
erratic                  1           0.001
erring                   6           0.005
erroneous                3           0.003
error                    3           0.003
errors                   3           0.003
errs                     1           0.001
erspread                 2           0.002
erspreads                2           0.002
ertakes                  1           0.001
erthrow                  1           0.001
erthrown                 1           0.001
ertoil                   1           0.001
erturn                   1           0.001
erturns                  1           0.001
erwatch                  2           0.002
erwhelm                  4           0.003
erwhelms                 2           0.002
erymanth                 1           0.001
escape                   2           0.002
escaped                  6           0.005
escapes                  1           0.001
eschetus                 2           0.002
espouse                  1           0.001
espoused                 1           0.001
essay                    9           0.008
essaying                 1           0.001
essays                   1           0.001
establish                1           0.001
estate                   1           0.001
esteem                   2           0.002
estimate                 1           0.001
estimated                2           0.002
estrange                 1           0.001
estranged                1           0.001
etc                      1           0.001
eteoneous                1           0.001
eteoneus                 2           0.002
eternal                 39           0.033
eternity                 1           0.001
etext                    4           0.003
ether                    1           0.001
ethereal                23           0.020
etherial                 1           0.001
euboea                   2           0.002
eumaeus                 63           0.054
eumelus                  1           0.001
eupithes                 7           0.006
euryades                 1           0.001
euryalus                 6           0.005
eurybates                1           0.001
euryclea                24           0.020
eurydamus                1           0.001
eurydice                 1           0.001
eurylochus              11           0.009
eurymachus              22           0.019
eurymedes                1           0.001
eurymedon                1           0.001
eurymedusa               1           0.001
eurynome                 7           0.006
eurynomus                2           0.002
eurypylus                1           0.001
eurytian                 1           0.001
eurytus                  2           0.002
ev                       5           0.004
evade                    2           0.002
evantheus                1           0.001
evasive                  1           0.001
eve                      5           0.004
even                    16           0.014
evening                 24           0.020
event                    7           0.006
events                   2           0.002
ever                    79           0.067
everlasting              2           0.002
every                  166           0.142
evidence                 1           0.001
evil                     5           0.004
evils                    2           0.002
ewe                      1           0.001
ewer                     7           0.006
ewes                     3           0.003
exact                    2           0.002
exactest                 1           0.001
exactly                  1           0.001
exalt                    4           0.003
exalted                  2           0.002
exalting                 2           0.002
exalts                   2           0.002
example                  2           0.002
exceed                   1           0.001
exceeds                  1           0.001
excel                    2           0.002
excellence               3           0.003
except                   3           0.003
excess                   2           0.002
excesses                 1           0.001
exchanged                1           0.001
exciting                 1           0.001
exclaims                 4           0.003
exclusion                1           0.001
exclusions               1           0.001
excuses                  1           0.001
execute                  1           0.001
executed                 1           0.001
exempt                   6           0.005
exempted                 1           0.001
exequial                 1           0.001
exercise                 2           0.002
exercised                2           0.002
exerts                   1           0.001
exhales                  3           0.003
exhausted                7           0.006
exhorts                  1           0.001
exigence                 1           0.001
exile                    9           0.008
exiled                   1           0.001
exiles                   1           0.001
exorcised                1           0.001
expand                   1           0.001
expanded                 4           0.003
expands                  4           0.003
expanse                  1           0.001
expansion                1           0.001
expatiate                1           0.001
expect                   3           0.003
expectants               1           0.001
expected                 3           0.003
expecting                2           0.002
expel                    2           0.002
expels                   1           0.001
expends                  1           0.001
expense                  4           0.003
expenses                 1           0.001
experience               7           0.006
experienced              8           0.007
expert                   7           0.006
expire                   1           0.001
expired                  8           0.007
expires                  4           0.003
expiring                 2           0.002
explain                  5           0.004
explains                 1           0.001
explanatory              1           0.001
exploit                  1           0.001
explore                 19           0.016
explored                 1           0.001
explores                 3           0.003
exploring                1           0.001
expose                   2           0.002
exposed                  2           0.002
expounds                 1           0.001
express                 16           0.014
expressed                1           0.001
expressive               4           0.003
exquisite                1           0.001
extend                   4           0.003
extended                12           0.010
extending                1           0.001
extends                  8           0.007
extensive                1           0.001
extent                   1           0.001
exterior                 1           0.001
extinct                  1           0.001
extinguish               1           0.001
extol                    1           0.001
extreme                  3           0.003
extremest                3           0.003
exult                    1           0.001
exulted                  1           0.001
exulting                 2           0.002
exults                   1           0.001
eye                     68           0.058
eyeball                  1           0.001
eyed                    23           0.020
eyeless                  2           0.002
eyelids                  2           0.002
eyes                   161           0.137
eyrie                    1           0.001
fabled                   2           0.002
fables                   1           0.001
fabric                   2           0.002
face                    40           0.034
fact                     1           0.001
faction                  1           0.001
factious                 2           0.002
fade                     1           0.001
faded                    6           0.005
fades                    2           0.002
fading                   1           0.001
fail                     9           0.008
failing                  2           0.002
fails                    1           0.001
fain                     1           0.001
faint                    1           0.001
fainted                  1           0.001
fainting                 3           0.003
faints                   4           0.003
fair                   123           0.105
fairer                   1           0.001
fairest                  1           0.001
fairly                   1           0.001
faith                   28           0.024
faithful                53           0.045
faithfull                1           0.001
faithfully               1           0.001
faithless               13           0.011
falchion                13           0.011
fall                    45           0.038
fallacies                2           0.002
fallacious               2           0.002
fallen                   1           0.001
falling                  7           0.006
falls                   24           0.020
false                   10           0.009
falsehood                3           0.003
falser                   1           0.001
falsify                  2           0.002
fam                      1           0.001
fame                    90           0.077
famed                   17           0.015
familiar                 9           0.008
family                   2           0.002
famine                   4           0.003
famish                   1           0.001
fancied                  2           0.002
fancy                    3           0.003
fane                     4           0.003
fanes                    1           0.001
fangs                    1           0.001
fanning                  2           0.002
fans                     1           0.001
fantastic                1           0.001
far                     95           0.081
fare                     3           0.003
fared                    1           0.001
farewell                 5           0.004
farther                  7           0.006
fashion                  2           0.002
fast                    33           0.028
fasten                   1           0.001
fastens                  1           0.001
fat                      7           0.006
fatal                   13           0.011
fatally                  1           0.001
fate                   154           0.131
fated                   12           0.010
fates                   40           0.034
father                 109           0.093
fathers                 10           0.009
fathom                   1           0.001
fatigue                  2           0.002
fatigued                 1           0.001
fatlings                 1           0.001
fatted                   5           0.004
fatten                   3           0.003
fattest                  1           0.001
fault                    6           0.005
faultless                2           0.002
favour                  13           0.011
favourable               1           0.001
favoured                 2           0.002
favouring               13           0.011
favourite               12           0.010
favourites               1           0.001
favours                  1           0.001
fawn                     2           0.002
fawning                  2           0.002
fawns                    2           0.002
fear                    55           0.047
fearful                  3           0.003
fearing                  1           0.001
fearless                 2           0.002
fears                   20           0.017
feast                  113           0.096
feasted                  1           0.001
feasters                 2           0.002
feastful                 7           0.006
feasting                 3           0.003
feasts                   4           0.003
feather                  8           0.007
feathers                 1           0.001
feature                  4           0.003
features                 4           0.003
february                 1           0.001
fed                     19           0.016
fee                      2           0.002
feeble                   6           0.005
feed                    10           0.009
feeder                   1           0.001
feeds                    5           0.004
feel                     9           0.008
feeling                  1           0.001
feels                    5           0.004
fees                     3           0.003
feet                    29           0.025
feign                    3           0.003
feigned                  2           0.002
feigns                   1           0.001
fell                    38           0.032
fellows                 11           0.009
felon                    4           0.003
felt                     9           0.008
female                  26           0.022
females                  4           0.003
fence                    4           0.003
fenced                   7           0.006
fenceful                 1           0.001
fenceless                1           0.001
fertile                  5           0.004
fervent                  3           0.003
fervour                  2           0.002
festival                 5           0.004
fetter                   3           0.003
fetters                  3           0.003
few                     18           0.015
fibres                   2           0.002
fiction                  3           0.003
fictitious               2           0.002
field                   30           0.026
fields                  32           0.027
fiend                    5           0.004
fiends                   4           0.003
fierce                  55           0.047
fiercer                  1           0.001
fiercest                 1           0.001
fiery                    9           0.008
fifth                    3           0.003
fifty                    6           0.005
fig                      4           0.003
fight                   24           0.020
fighting                 3           0.003
fights                   1           0.001
figs                     4           0.003
figure                   2           0.002
figured                  2           0.002
figures                  4           0.003
file                     1           0.001
filed                    1           0.001
filename                 1           0.001
files                    2           0.002
filial                  18           0.015
fill                    26           0.022
filled                   2           0.002
fills                   11           0.009
filmy                    2           0.002
filthy                   1           0.001
fin                      1           0.001
final                    4           0.003
find                    35           0.030
finding                  2           0.002
finds                    3           0.003
fine                     1           0.001
finger                   1           0.001
fingered                 1           0.001
fingers                  2           0.002
finish                   7           0.006
finished                 3           0.003
finishing                1           0.001
finny                    3           0.003
fir                      1           0.001
fire                    27           0.023
fired                   14           0.012
fires                   20           0.017
firm                    19           0.016
firmament                1           0.001
firmer                   2           0.002
firmly                   2           0.002
firs                     1           0.001
first                  115           0.098
firstlings               2           0.002
fish                     4           0.003
fisher                   2           0.002
fishes                   1           0.001
fishy                    2           0.002
fit                      3           0.003
fitness                  1           0.001
fits                     9           0.008
fitter                   1           0.001
five                     7           0.006
fix                     36           0.031
fixed                    1           0.001
flake                    1           0.001
flame                   19           0.016
flamed                   4           0.003
flames                  25           0.021
flaming                  5           0.004
flank                    2           0.002
flap                     1           0.001
flash                    4           0.003
flashing                 5           0.004
flaskets                 1           0.001
flat                     2           0.002
flatter                  3           0.003
flattering               2           0.002
flattery                 5           0.004
flavorous                2           0.002
flavour                  1           0.001
flay                     3           0.003
fled                    18           0.015
fledged                  1           0.001
fleece                   8           0.007
fleeces                  1           0.001
fleecy                  13           0.011
fleet                   29           0.025
fleets                   4           0.003
flesh                    6           0.005
flew                    31           0.026
flies                   60           0.051
fliest                   1           0.001
flight                  28           0.024
fling                    1           0.001
flings                   1           0.001
flippant                 1           0.001
flit                     1           0.001
flitting                 1           0.001
float                    7           0.006
floating                 9           0.008
floats                   6           0.005
flock                   24           0.020
flocks                  22           0.019
flood                   28           0.024
floods                  20           0.017
floor                   13           0.011
florid                   2           0.002
florida                  1           0.001
flouncing                1           0.001
flour                   10           0.009
flourish                 4           0.003
flow                    47           0.040
flowed                   1           0.001
flower                   4           0.003
flowers                  4           0.003
flowery                 13           0.011
flowing                 12           0.010
flown                    1           0.001
flows                   16           0.014
fluent                   1           0.001
fluid                    1           0.001
fluids                   1           0.001
flung                    7           0.006
flush                    2           0.002
flutter                  1           0.001
fluttering               4           0.003
flutters                 1           0.001
fly                     76           0.065
flying                  12           0.010
foam                     6           0.005
foaming                  9           0.008
foams                    3           0.003
foamy                    4           0.003
foe                     46           0.039
foes                    28           0.024
foil                     1           0.001
fold                     9           0.008
folded                   2           0.002
folding                  3           0.003
folds                    2           0.002
foliage                  5           0.004
follies                  1           0.001
follow                  14           0.012
followed                 2           0.002
followers                3           0.003
following               10           0.009
follows                  2           0.002
folly                    8           0.007
foment                   2           0.002
foments                  1           0.001
fond                    29           0.025
fonder                   1           0.001
fondly                   3           0.003
fondness                 6           0.005
food                    31           0.026
foodful                  1           0.001
foodless                 1           0.001
fool                     6           0.005
fools                    4           0.003
foot                     7           0.006
footing                  1           0.001
footsteps                6           0.005
footstool                6           0.005
for                    482           0.411
forbade                  1           0.001
forbear                 24           0.020
forbears                 2           0.002
forbid                   5           0.004
forbidden                1           0.001
forbidding               1           0.001
forbids                  1           0.001
forbore                  2           0.002
force                   54           0.046
forced                   6           0.005
forceful                 3           0.003
forces                   1           0.001
ford                     1           0.001
foreboded                1           0.001
forebodes                2           0.002
foredoom                 2           0.002
foredooms                1           0.001
forego                   2           0.002
forehead                 5           0.004
foreign                 31           0.026
foremost                 2           0.002
forerunner               1           0.001
foreseeing               1           0.001
foresees                 1           0.001
foreshows                1           0.001
forest                   6           0.005
forestalls               1           0.001
forests                  6           0.005
foretells                1           0.001
foretold                 5           0.004
forever                  1           0.001
forfeit                  4           0.003
forge                    2           0.002
forget                   5           0.004
forgetful                2           0.002
forgetfulness            3           0.003
forgets                  1           0.001
forgive                  3           0.003
forgot                  12           0.010
forgotten                3           0.003
forks                    2           0.002
forky                    3           0.003
forlorn                  3           0.003
form                   105           0.090
formed                   2           0.002
former                   9           0.008
formerly                 2           0.002
formidable               2           0.002
forming                  1           0.001
forms                   25           0.021
forsake                  6           0.005
forsaken                 1           0.001
forsakes                 4           0.003
forsaking                1           0.001
forsook                  3           0.003
forth                   53           0.045
fortify                  1           0.001
fortitude                1           0.001
fortune                 19           0.016
fortunes                16           0.014
forty                    1           0.001
forum                    1           0.001
forward                  5           0.004
fought                   5           0.004
foul                     8           0.007
fouler                   1           0.001
found                   35           0.030
foundation               9           0.008
founded                  1           0.001
founders                 1           0.001
fount                    4           0.003
fountain                 7           0.006
fountains                4           0.003
founts                   1           0.001
four                    18           0.015
fourth                   6           0.005
fowl                     7           0.006
fowlers                  1           0.001
fowls                    1           0.001
fragment                 3           0.003
fragments                9           0.008
fragrance                4           0.003
fragrances               1           0.001
fragrant                15           0.013
frail                    5           0.004
fram                     1           0.001
frame                   24           0.020
framed                   2           0.002
frames                   2           0.002
frankincense             1           0.001
frantic                  6           0.005
fraternal                1           0.001
fraud                   24           0.020
